symptom_name;disease_common_name
Weight Loss;schizophrenia
Weight Loss;polycystic ovary syndrome
Weight Loss;germ cell cancer
Weight Loss;malignant mesothelioma
Weight Loss;bone cancer
Weight Loss;bile duct cancer
Weight Loss;gallbladder cancer
Weight Loss;jejunal cancer
Weight Loss;adrenal gland cancer
Weight Loss;testicular cancer
Weight Loss;vascular cancer
Weight Loss;urinary bladder cancer
Weight Loss;sclerosing cholangitis
Weight Loss;celiac disease
Weight Loss;pancreatitis
Weight Loss;periodontitis
Weight Loss;dental caries
Weight Loss;idiopathic pulmonary fibrosis
Weight Loss;glaucoma
Weight Loss;age related macular degeneration
Weight Loss;IgA glomerulonephritis
Weight Loss;membranous glomerulonephritis
Weight Loss;focal segmental glomerulosclerosis
Weight Loss;gestational diabetes
Weight Loss;dilated cardiomyopathy
Weight Loss;abdominal aortic aneurysm
Weight Loss;thoracic aortic aneurysm
Weight Loss;atopic dermatitis
Weight Loss;attention deficit hyperactivity disorder
Weight Loss;autistic disorder
Weight Loss;primary biliary cirrhosis
Weight Loss;narcolepsy
Weight Loss;Barrett's esophagus
Cyanosis;skin cancer
Cyanosis;osteoporosis
Cyanosis;rheumatoid arthritis
Cyanosis;coronary artery disease
Cyanosis;hypertension
Cyanosis;systemic scleroderma
Cyanosis;vitiligo
Cyanosis;type 2 diabetes mellitus
Cyanosis;obesity
Cyanosis;hepatitis B
Cyanosis;malignant glioma
Cyanosis;melanoma
Cyanosis;stomach cancer
Cyanosis;liver cancer
Cyanosis;pancreatic cancer
Cyanosis;ovarian cancer
Cyanosis;head and neck cancer
Cyanosis;larynx cancer
Cyanosis;brain cancer
Cyanosis;mediastinal cancer
Cyanosis;uterine cancer
Cyanosis;kidney cancer
Cyanosis;asthma
Cyanosis;multiple sclerosis
Cyanosis;epilepsy syndrome
Cyanosis;migraine
Cyanosis;amyotrophic lateral sclerosis
Cyanosis;chronic kidney failure
Cyanosis;Kawasaki disease
Cyanosis;anemia
Cyanosis;systemic lupus erythematosus
Cyanosis;schizophrenia
Cyanosis;adrenal gland cancer
Cyanosis;testicular cancer
Cyanosis;gout
Cyanosis;pancreatitis
Cyanosis;cleft lip
Cyanosis;idiopathic pulmonary fibrosis
Cyanosis;intracranial aneurysm
Cyanosis;focal segmental glomerulosclerosis
Cyanosis;thoracic aortic aneurysm
Cyanosis;atopic dermatitis
Cyanosis;attention deficit hyperactivity disorder
Cyanosis;autistic disorder
Muscle Hypertonia;acquired immunodeficiency syndrome
Muscle Hypertonia;Alzheimer's disease
Muscle Hypertonia;hypertension
Muscle Hypertonia;ovarian cancer
Muscle Hypertonia;spinal cancer
Muscle Hypertonia;ankylosing spondylitis
Muscle Hypertonia;asthma
Muscle Hypertonia;multiple sclerosis
Muscle Hypertonia;Parkinson's disease
Muscle Hypertonia;epilepsy syndrome
Muscle Hypertonia;migraine
Muscle Hypertonia;chronic kidney failure
Muscle Hypertonia;systemic lupus erythematosus
Muscle Hypertonia;endogenous depression
Muscle Rigidity;osteoporosis
Muscle Rigidity;rheumatoid arthritis
Muscle Rigidity;Alzheimer's disease
Muscle Rigidity;coronary artery disease
Muscle Rigidity;hypertension
Muscle Rigidity;hematologic cancer
